x_center,y_center,width,height,confidence,class_prob_0,class_prob_1,class_prob_2,class_prob_3,class_prob_4,class_prob_5,class_prob_6,class_prob_7,class_prob_8,class_prob_9
162.06967,150.63446,37.99815,48.544285,0.85162485,151.3206,146.67378,169.50465,143.8167,160.6016,156.52243,154.28024,161.92395,171.48854,159.42963,0.83812326
273.96378,149.929,44.430717,53.702675,0.8688494,263.56055,141.95587,284.45926,140.26328,275.58426,154.24597,266.2556,161.02405,285.273,159.5245,0.85510045
57.638084,154.86166,40.362396,52.65728,0.80409026,50.268814,148.97318,69.429756,149.28056,61.154346,161.13004,50.22515,165.55788,67.942276,165.85663,0.79145026
57.734726,154.64659,39.46945,52.633545,0.8843347,50.155106,148.80865,68.98314,148.80093,60.99853,161.39015,50.484802,165.64105,67.850296,165.65282,0.87030274
162.189,151.43883,37.443104,48.0718,0.8588855,151.25946,146.76244,169.09114,143.66011,160.33443,156.54208,153.848,162.10696,171.181,159.34494,0.8452753
274.23773,150.67313,43.99758,52.291138,0.823285,264.03217,142.1464,284.13956,140.51593,275.55634,153.66507,266.12985,161.01625,284.82626,159.58023,0.8102186
375.5938,154.02957,40.978065,54.355564,0.80778134,367.60522,148.6328,386.33636,146.32292,379.05035,158.86935,369.466,165.52655,387.2593,163.62646,0.7950642
375.9919,154.24124,40.749897,54.801994,0.7847314,367.7487,148.68573,386.1454,146.49515,379.21356,160.03307,369.75995,165.80194,387.57434,163.9103,0.77230936
482.1901,159.6084,42.33513,57.8,0.7258352,471.8167,155.19691,491.92545,153.67633,482.47766,166.36963,473.55368,172.12234,491.52228,170.9437,0.714263
584.2716,158.02553,39.401234,50.743,0.7894056,575.9524,152.4539,594.19434,152.39233,585.87317,164.72423,577.0806,169.38533,593.3894,169.32446,0.7770163
584.4409,157.80167,39.70287,51.147606,0.8470181,576.11945,152.798,593.92444,152.81133,585.4858,164.74648,576.85455,169.24228,593.60187,169.23053,0.8335951
56.993923,255.14656,40.131042,51.40462,0.78187835,44.45781,252.56232,61.98862,250.5242,52.216076,262.2196,47.825962,267.79022,64.183105,265.9249,0.7694805
57.117935,256.45963,38.86634,50.64847,0.70595056,45.1505,251.96564,62.152668,250.84099,52.244465,263.01013,47.997417,267.58694,64.43591,266.2971,0.6947422
160.52429,259.66327,41.993767,53.466812,0.7776658,149.40436,255.8028,169.51839,253.21275,158.84534,267.33295,151.27951,272.4408,169.75774,270.20206,0.7654286
160.52644,260.34406,41.989048,54.262615,0.84202707,149.18059,255.34267,169.0205,253.41977,159.24101,267.5338,151.44922,272.37042,169.96468,270.59985,0.8286239
270.85046,263.98734,42.856525,53.004345,0.7532868,259.762,257.55295,279.2825,257.11444,268.53232,269.66104,262.12094,274.91428,279.85184,274.4663,0.7414473
380.31122,260.21405,42.1679,54.594585,0.87767076,373.99844,252.8647,393.15265,253.52492,385.18546,265.23157,374.0932,272.1964,390.93237,272.75046,0.86380637
481.27554,265.50687,35.03512,44.20738,0.7153926,473.83972,259.9357,489.8211,260.13388,482.18433,269.15988,474.00314,274.0883,489.1146,274.2654,0.7041255
590.8607,258.5313,43.017292,51.592896,0.8299209,586.28723,248.94225,604.5,252.53778,595.9082,261.91434,582.80896,266.98334,599.6951,270.0252,0.8168581
590.7655,258.45184,42.20223,52.65818,0.7746292,585.88226,248.94159,604.60565,252.57938,596.1569,262.4088,583.33386,267.51828,599.847,270.6727,0.7623828
270.91556,264.7093,43.36338,54.749664,0.81432414,259.5377,257.07114,279.39923,256.95822,268.56836,269.22107,260.99017,274.91086,280.3102,274.70752,0.80145323
480.7998,266.12125,34.044487,44.419937,0.8048925,473.48138,260.03864,489.8302,260.39047,482.10147,269.56543,473.63504,274.22873,489.78894,274.47687,0.7922098
480.97427,265.95813,34.695713,45.00607,0.8720224,473.5589,259.9656,489.71292,260.04575,482.36285,269.4817,473.58655,274.52234,489.5413,274.5689,0.8581847
264.7997,359.95532,37.990707,51.405373,0.72909844,255.49207,356.72913,273.00925,354.1988,265.50626,365.7661,258.2371,371.77322,274.62085,369.75342,0.7175686
370.24994,359.8829,37.062977,49.77671,0.84695756,358.44116,356.61542,374.83047,354.28635,365.36496,364.79587,360.843,371.13498,376.99176,369.0561,0.8335197
54.123245,367.8673,40.352634,52.62923,0.8130658,47.043617,361.78802,66.15456,363.98987,56.801178,374.48837,45.61196,378.6321,63.018368,380.43414,0.8002526
160.35007,361.98248,34.40668,48.38049,0.8058673,152.59213,356.7012,168.90631,356.06934,161.48198,365.6538,154.67378,373.63074,168.2845,373.10303,0.7931417
160.57521,361.9378,34.394474,49.02871,0.85020417,152.51682,356.85757,168.71677,356.13797,161.45879,366.01648,154.80011,373.7675,167.9413,373.24548,0.83669364
264.84476,361.18298,37.95424,50.464066,0.7046623,255.66766,356.69,272.6884,353.7682,264.6621,365.3478,257.55853,372.02618,274.22507,369.53146,0.69356304
264.7035,360.9457,37.48404,51.73506,0.82255954,255.60829,356.37885,272.6857,353.8847,265.1773,365.49445,257.60046,371.98605,274.08978,369.8353,0.8095043
370.24893,359.8568,36.63088,49.241158,0.8551544,358.80264,356.3089,374.81525,354.3429,365.4537,364.40924,360.47955,370.69617,376.97354,368.8562,0.84157825
483.292,366.47867,35.63152,45.545403,0.8983122,474.43085,360.63477,491.21014,363.05606,481.17752,372.5979,472.94342,375.5079,488.8899,377.45093,0.8840497
593.737,363.54126,40.389465,49.84809,0.84531885,588.242,356.7559,606.23627,357.99445,599.104,368.1759,587.53186,373.69446,603.6333,374.85077,0.83207005
593.72955,363.58524,37.80822,49.326183,0.87185943,588.4774,356.93765,606.209,358.27563,599.1496,368.04156,588.2431,373.71277,603.5177,374.91455,0.8580621
54.440575,368.13736,41.830444,52.787243,0.8169764,46.935028,361.9841,66.32174,363.46692,56.687202,374.7993,44.922882,378.65164,64.084694,379.9717,0.80409145
483.13077,366.71326,36.5619,47.675938,0.8538797,474.42712,360.63437,491.36078,362.9526,481.19763,372.47806,472.66843,375.47534,488.9487,377.3909,0.8403378
589.0145,464.94986,40.59339,56.35118,0.74526507,579.81396,460.04178,599.28845,459.5605,589.51135,471.17987,581.00397,477.19388,598.2797,476.82483,0.7334698
53.21936,469.80115,42.052753,55.044952,0.8101063,44.100666,463.66327,63.29738,465.85553,52.72948,476.33286,43.330193,479.82355,61.884445,481.56613,0.7972821
265.88654,472.50906,37.568474,51.793537,0.83997166,258.17477,465.54852,275.2106,465.7185,267.4127,477.1116,258.5739,482.09857,275.27917,482.21857,0.82667863
373.1613,468.8659,37.12397,53.174297,0.8671817,362.1374,463.92923,379.89243,464.8343,368.9245,476.79865,363.8051,481.09167,380.11493,481.60623,0.8533694
589.3345,465.29868,40.59534,55.96113,0.8239882,580.1676,459.60132,599.21497,459.13358,589.3614,471.9078,580.6524,477.02817,599.10425,476.51657,0.8109279
53.393967,471.35925,41.30979,53.88952,0.7561724,43.81845,462.9106,63.48907,465.40002,53.07229,476.59314,42.67308,479.76578,61.71618,481.91998,0.7441992
161.00522,475.76343,41.019253,50.76754,0.83106685,153.87123,469.08417,171.97266,474.20215,161.62549,483.75043,149.85107,484.34167,166.4552,488.70065,0.81798476
160.4262,475.6063,38.511303,49.87838,0.8584195,154.02065,470.17697,171.21269,474.5169,162.36288,483.47195,150.97916,484.72934,166.79329,488.50824,0.844779
266.01492,473.35944,37.487946,52.390617,0.85732776,257.74692,465.55814,275.2912,465.92386,267.2241,477.4995,257.71323,482.72565,275.2897,483.03387,0.8436962
373.4063,470.3881,37.173714,53.826122,0.7019208,362.0967,463.27505,380.03397,464.45685,368.4481,476.29718,362.88623,480.45615,380.28772,481.21173,0.6907694
478.74185,477.18893,40.259655,56.91665,0.8034502,469.74948,474.14682,489.0059,474.5077,479.1608,487.74756,470.6427,492.12567,486.70026,492.34683,0.79071677
478.16882,477.2149,40.522865,56.703796,0.7588569,469.79126,474.10422,488.94824,473.9215,479.80505,487.2521,471.1293,492.19693,487.7795,492.09528,0.74681765
57.63514,154.45175,39.581116,52.00537,0.87638646,50.4329,149.01407,69.02453,149.04152,60.8648,161.12766,50.52437,165.96501,67.78611,166.14375,0.8615959
57.677315,154.39476,39.19362,51.6498,0.83125204,50.66609,148.86794,68.8267,149.07948,60.72999,161.16125,50.764214,165.78062,67.66728,166.0825,0.81727755
161.9842,150.70479,38.09047,50.03616,0.87097085,151.23369,146.72263,169.0335,143.99167,159.97655,156.40196,153.98836,162.72052,171.0912,160.01913,0.8562815
162.22589,150.76671,38.24523,49.63089,0.8675509,151.2154,146.5071,169.26385,143.98569,160.36208,156.35532,154.01454,162.52196,171.34294,160.04323,0.8529117
273.6532,150.68379,45.550434,54.66938,0.8852947,263.79456,141.74585,284.39633,140.38707,275.35834,152.85149,266.0272,160.99312,284.79553,159.68253,0.87035257
273.8027,150.62833,44.8976,54.693665,0.8904593,263.7419,141.49153,284.55957,140.30547,275.42215,152.96452,266.23053,160.90381,284.972,159.8985,0.8754156
375.58896,152.85883,40.936993,56.04451,0.86615837,367.8174,148.64343,386.05835,146.64914,379.0126,159.21681,369.4125,165.84814,387.21616,164.13683,0.8515366
482.17432,159.17029,43.090973,59.423897,0.85657674,471.97455,155.01282,492.31314,153.99428,482.3984,166.46873,473.25916,173.18134,492.00122,172.37524,0.8421358
584.3709,158.7873,39.281593,51.330036,0.86941767,576.2424,152.74773,593.96014,152.94969,585.352,165.12753,576.25024,169.0665,593.0129,169.30515,0.8547488
57.699387,154.50496,39.585518,52.344696,0.84580195,50.52875,149.15399,68.91199,149.22978,60.935978,161.43419,50.314346,165.97711,67.62398,166.14743,0.8315436
482.30328,159.14867,43.303047,59.135815,0.849399,471.95148,155.06987,492.03763,154.08691,482.0837,166.19203,472.99588,172.9994,492.0755,172.17702,0.83506703
584.4027,158.90039,39.22345,51.10256,0.87392527,576.1874,152.85413,593.8002,152.72707,585.2661,165.09921,576.24927,169.3111,593.02423,169.2025,0.85916173
56.61823,255.5239,39.242428,50.622684,0.8719481,44.98169,251.86542,62.14306,250.96126,52.845253,262.59836,47.47335,267.43427,64.82062,266.34662,0.8572413
380.11307,260.4998,41.63121,55.028336,0.8385879,374.22113,253.27856,392.87903,253.61806,385.33163,264.68307,373.74158,272.3307,391.46613,272.62872,0.824448
590.8624,257.8708,43.02472,52.759193,0.7751835,586.5718,249.27463,604.63904,252.68948,595.9249,262.48398,582.81976,267.71216,599.696,270.73746,0.76211447
56.642838,255.56357,39.10462,50.793606,0.87121964,44.88148,252.0852,62.03237,250.98026,52.594902,262.66196,47.742004,267.63077,64.85641,266.3744,0.8565101
160.72275,260.3147,43.152245,55.60415,0.8619745,149.42552,255.84085,169.03133,254.03043,158.95717,267.07343,151.0819,272.75262,170.08582,270.90247,0.8474211
160.77173,260.30692,42.646915,55.278755,0.8638067,149.40663,255.51143,169.16101,253.89339,159.01685,267.01956,151.16628,272.49533,170.19582,270.8881,0.8492254
270.40662,265.26813,43.54725,54.333324,0.8857178,259.2982,257.41876,278.6952,257.0767,268.91446,269.66068,260.69556,275.45886,280.20914,275.07544,0.87076324
270.71133,265.1784,43.55074,54.512447,0.8910384,259.3879,257.35693,278.80774,257.23288,268.64615,269.62695,260.66068,275.32315,280.29587,275.07785,0.8760119
379.99603,260.50842,41.317593,54.658348,0.8755826,374.10995,253.36992,392.69394,253.70921,385.39783,264.9321,373.57706,272.4786,391.30246,272.7778,0.8608036
380.0181,260.45044,40.875637,54.885742,0.86621565,374.36017,253.49423,393.0827,253.7514,385.5453,265.23483,374.00543,272.40588,391.5729,272.76038,0.85160017
481.16455,266.3276,35.10882,45.07612,0.8685631,473.76746,260.02985,489.79767,260.01578,482.1841,269.53888,473.8008,274.71863,489.64288,274.77484,0.85392565
481.2044,266.45578,35.169205,44.837738,0.8664527,473.7331,260.13077,489.66672,260.29605,482.16083,269.4626,473.9677,274.78503,489.55875,275.05582,0.8518399
590.87103,258.02847,43.01654,52.077175,0.8398464,586.7867,249.4156,604.7385,252.68109,596.21533,262.54504,582.9077,268.0139,599.90875,270.97202,0.8256844
590.95325,258.19308,42.518394,51.94799,0.797184,586.8056,249.37321,604.6831,252.61856,596.233,262.769,583.0723,267.91296,600.1306,270.8749,0.7837238
481.31274,266.42087,34.95854,45.39224,0.7325696,473.59396,259.88028,489.77014,260.2132,482.5788,269.51315,474.05472,274.91592,490.0112,275.11707,0.7202111
54.12135,368.5975,40.913593,53.814716,0.88062966,46.83478,362.04697,66.00294,363.4836,56.8777,375.34558,44.367714,379.09467,63.9618,380.6615,0.865771
160.5723,361.48764,35.590134,50.61341,0.8724532,152.69922,356.6396,168.95691,356.02213,161.27325,365.74268,154.89653,374.2235,168.25589,373.73233,0.85774964
160.52817,361.68497,35.76384,50.181957,0.8705086,152.59944,356.7285,168.99945,356.0271,161.31984,365.92038,154.92545,374.26068,168.33488,373.69492,0.85582477
264.61438,360.65732,37.69126,51.18797,0.87364554,255.6249,356.4235,272.68256,354.23328,264.83667,365.48526,257.3887,372.26318,273.993,370.20108,0.85889924
370.35434,359.8198,36.816017,49.46149,0.86856973,358.70074,356.46164,374.60632,354.6922,365.19434,364.4588,361.00894,371.3828,376.8834,369.51694,0.8539279
370.5511,359.74368,37.17305,49.39237,0.8622893,358.8267,356.5459,374.69968,354.81952,365.4391,364.5673,361.14175,371.19867,376.95798,369.33655,0.84774977
483.149,366.99017,36.433163,47.00889,0.87972134,474.83405,360.66943,491.29074,363.1838,480.9152,372.42603,472.68655,375.76346,488.7401,378.0426,0.8648979
593.356,364.0976,38.952785,49.476322,0.8574544,588.2722,357.30032,606.0025,358.47272,598.74945,368.09085,587.4226,374.34497,603.40717,375.52762,0.8429999
593.4543,364.02142,38.828835,49.452095,0.8615901,588.29517,357.10547,605.8466,358.29504,598.8797,367.912,587.8124,374.15518,603.5719,375.32568,0.8470594
54.158966,368.51303,40.56252,53.202145,0.8782749,46.628716,362.1258,65.88472,363.41168,56.69837,375.3222,44.33463,378.86227,63.912987,380.38745,0.8634322
483.1747,367.09952,36.23662,46.93266,0.87880516,474.7994,360.73077,491.31668,362.97626,481.1592,372.4947,472.63373,375.7048,489.04468,377.69516,0.86396843
593.6164,363.80713,38.629406,49.618687,0.7972031,588.3811,357.33456,606.08795,358.57776,599.01227,368.49338,587.35114,374.20456,603.69934,375.3697,0.78374994
52.73065,469.53998,42.500397,55.92916,0.79420495,43.51124,463.46362,62.809986,465.51212,53.084637,476.2021,42.724884,480.22226,62.689106,482.0708,0.7808388
373.11365,470.01398,38.408146,54.09688,0.78373396,361.8827,463.48474,379.9392,464.5924,368.81857,476.34296,363.01544,481.32727,380.16168,482.14075,0.7705553
588.88104,465.63184,40.41624,58.116295,0.8761185,580.03687,459.97928,598.9682,459.5136,590.19116,471.59534,580.6788,477.37244,598.84924,476.96573,0.861324
52.763165,469.5681,41.56346,54.160736,0.8480178,43.624508,463.6815,62.515102,465.41513,52.751114,475.6625,42.53749,480.15305,61.905495,481.779,0.83369154
52.838352,469.494,41.7787,54.266125,0.86269534,43.744427,463.40158,62.864883,465.23865,52.986805,475.79816,42.81742,479.7936,62.39296,481.5567,0.8481299
160.27998,475.48105,38.90677,49.524117,0.8608536,154.59164,469.5732,171.54504,474.3422,161.15218,483.644,150.24077,484.34338,165.72672,488.84354,0.84632933
160.33826,475.55203,38.910263,49.889374,0.8678782,154.71591,469.67157,171.7959,474.79822,161.49596,483.86182,150.16077,484.19305,166.11143,488.92722,0.853251
265.8282,473.3877,38.251297,53.17151,0.877774,257.98926,465.5336,275.30893,465.84088,266.94086,477.13028,257.33832,482.53424,275.3977,482.94913,0.8629506
265.93323,473.3514,38.235283,53.20441,0.84195876,258.0797,465.60895,275.28772,465.99115,266.7829,477.26642,257.7252,482.6421,275.40628,483.11996,0.82779485
373.15204,470.07965,37.813717,53.994846,0.85693717,362.0945,463.5806,379.8553,464.35272,368.74493,476.35263,363.14334,481.46805,380.2137,481.93118,0.8424559
373.27756,470.1336,38.52354,53.65423,0.85332775,362.03952,463.53485,380.1107,464.5659,368.65424,476.44888,363.08847,481.0049,380.31577,481.7812,0.8389163
479.05035,477.32956,40.926914,59.10393,0.8523147,469.57822,474.70938,489.25555,474.61703,479.5718,488.69363,470.84158,492.30124,487.49417,492.25775,0.83792484
478.99542,477.30115,41.01449,58.516716,0.8198049,469.77118,474.399,488.99966,474.1829,479.33673,488.4553,471.01587,492.42084,487.47183,492.19537,0.80598897
588.86914,465.49713,40.46199,57.992752,0.8778257,580.0779,459.99506,598.7098,459.617,589.87244,471.78806,580.3043,477.43997,598.5985,477.0377,0.86299884
588.7227,466.02402,40.379845,57.103447,0.7521455,580.10175,459.98285,598.94336,459.8043,589.8425,472.1117,580.59424,477.45212,598.7621,477.3065,0.73945665
265.9475,473.87878,38.33956,53.02511,0.74811435,257.9769,465.6806,275.15988,466.04196,266.91064,477.1122,257.27103,482.70517,275.2256,483.0631,0.7354915
478.85214,477.69547,40.9312,58.303246,0.744017,469.76733,474.6716,488.87207,474.62476,479.21362,488.51822,470.42682,492.29684,487.2537,492.17252,0.731468
57.608574,154.43907,39.55066,52.13596,0.87860626,50.44001,148.99886,69.031235,149.04472,60.867615,161.10373,50.48391,165.87567,67.71467,166.14186,0.86406434
57.679028,154.37433,39.003616,51.47303,0.83539414,50.674774,148.86394,68.86379,149.04881,60.713867,161.18515,50.66136,165.70573,67.6559,166.07208,0.82160085
162.01523,150.69736,37.937622,50.081474,0.87998426,151.23935,146.6745,168.98918,143.99054,160.00674,156.3747,153.97403,162.70274,171.06483,160.01152,0.865386
162.19238,150.73999,38.191006,49.722824,0.87450004,151.19804,146.45807,169.27876,143.95985,160.39955,156.2934,153.95992,162.46286,171.34222,160.01402,0.860067
